year,owner_id,team,regular_season_seed,regular_season_record,avg_points_for,round_1_loss,sco_game_loss,sco_opponent
2014,Hunter,7,4-12,126.25,Charlie,90-18,Miller
2015,Charlie,6,5-11,110.89,Hunter,78-66,Muffin
2016,Miner,7,4-12,120.09,Charlie,138-114,Sabella
2017,Gary,6,5-11,114.5,Sabella,108-83,Miner
2018,Gary,7,5-11,120.07,Kyle,146-112,Hunter
2019,Hunter,6,5-11,121,Muffin,113-89,Kyle
2020,Muffin,6,5-11,125.71,Hunter,154-111,Gary
2021,Gary,8,4-12,118.29,Muffin,128-61,Miner
2022,Kyle,6,6-10,117,Gary,153-77,Hunter
2023,Hunter,7,5-11,114.86,Kyle,132-130,Miner
2024,Sco,65-11,113.57,Hunter,157-124,Miner
2025,Miner,8,5-11,107.07,Jake,121-99,Sco
